Numer identyfikacyjny gracza,Imię gracza,Nazwisko gracza,Płeć,Data urodzenia,Data dołączenia,Miasto zamieszkania,Status członkostwa
24,Alan,Poleszak,M,2004-09-04,2022-03-16 10:21:00,Olkusz,Standard
25,Rozalia,Sojda,K,1957-12-11,2022-07-27 21:43:06,Ciechanów,Standard
26,Sandra,Dargacz,K,1994-07-30,2023-08-21 22:27:18,Lubliniec,Silver
27,Mariusz,Makoś,M,1960-09-20,2022-12-10 07:31:33,Starachowice,Standard
28,Ernest,Skrobek,M,1960-05-01,2023-06-09 03:31:12,Zgorzelec,Standard
29,Tymoteusz,Stryjek,M,1955-12-11,2022-10-14 22:38:33,Piła,Gold
30,Mikołaj,Żelazek,M,1980-09-25,2023-11-18 21:57:20,Siemianowice Śląskie,Silver
31,Monika,Keler,K,1992-06-13,2022-04-26 03:56:06,Tarnowskie Góry,VIP
32,Sara,Staniaszek,K,1950-08-24,2022-04-10 19:11:27,Bartoszyce,Silver
33,Igor,Otremba,M,1976-01-17,2023-12-16 19:31:37,Chrzanów,Silver
34,Nataniel,Koral,M,1984-10-21,2022-08-06 08:51:08,Kościan,Standard
35,Eliza,Żmija,K,1997-08-10,2023-03-29 06:07:50,Ząbki,VIP
36,Angelika,Szulim,K,1958-02-27,2022-07-14 22:28:53,Kościan,Gold
37,Adrian,Baka,M,2003-10-15,2022-03-18 03:36:55,Lębork,VIP
38,Elżbieta,Haponiuk,K,1963-04-25,2023-10-19 15:48:53,Kętrzyn,Standard
39,Marianna,Kozdrój,K,1954-12-21,2022-12-24 20:55:01,Skawina,Standard
40,Marianna,Szatko,K,1977-09-20,2022-04-01 07:59:01,Lubin,Standard
41,Iwo,Marciniszyn,M,1984-06-03,2022-03-30 21:46:47,Kościerzyna,Standard
42,Witold,Darul,M,1997-02-25,2022-07-19 13:40:51,Bielsk Podlaski,Gold
43,Emil,Sorbian,M,1962-08-13,2022-10-06 05:18:39,Kołobrzeg,Standard
44,Grzegorz,Józefczak,M,1985-03-30,2022-07-09 21:03:25,Nowy Targ,Gold
45,Ewa,Muniak,K,1998-09-20,2022-09-22 21:26:21,Słupsk,Silver
46,Eliza,Boguta,K,1999-01-21,2022-09-12 20:07:37,Bartoszyce,Standard
47,Krystyna,Budzeń,K,1953-08-26,2023-05-26 17:09:46,Łuków,Silver
48,Bianka,Krüger,K,1985-11-21,2023-01-07 00:55:11,Skawina,Standard
49,Marcel,Wereda,M,1990-09-21,2023-11-25 13:27:10,Tczew,Silver
50,Julianna,Krępa,K,1971-04-26,2023-01-13 21:25:38,Lubin,Silver
51,Agnieszka,Świerszcz,K,1977-08-26,2023-01-10 02:37:44,Kluczbork,Standard
52,Marianna,Krzyżostaniak,K,1983-02-05,2022-11-16 13:48:28,Brzeg,Gold
53,Kornelia,Drozda,K,1971-09-05,2023-03-23 07:14:03,Zabrze,Silver
54,Marika,Drozda,K,1991-03-24,2023-05-06 18:01:05,Ostrowiec Świętokrzyski,Gold
55,Fryderyk,Bork,M,1977-06-10,2022-05-11 20:44:37,Legionowo,Standard
56,Cyprian,Olszyna,M,1990-11-08,2023-08-29 15:29:25,Olkusz,Standard
57,Kornel,Gryszkiewicz,M,1985-08-11,2023-04-27 19:16:28,Częstochowa,Standard
58,Antoni,Poniedziałek,M,1951-09-07,2022-04-19 03:32:26,Olkusz,Standard
59,Klara,Smolka,K,1965-06-18,2022-05-19 03:02:41,Starachowice,Standard
60,Piotr,Noculak,M,2007-05-23,2023-09-24 14:21:41,Skierniewice,Standard
61,Oskar,Ziarek,M,1968-05-23,2022-12-21 03:34:25,Rumia,Standard
62,Dawid,Wikło,M,1982-10-28,2022-11-23 22:13:13,Czeladź,Standard
63,Borys,Doroz,M,1998-10-22,2023-10-03 04:12:46,Legionowo,Gold
64,Tola,Fołta,K,1984-04-18,2022-11-23 12:17:12,Sochaczew,Silver
65,Andrzej,Kostorz,M,1996-12-08,2023-08-26 05:12:05,Słupsk,Standard
66,Karina,Otremba,K,1985-04-04,2022-03-04 22:50:31,Opole,Silver
67,Sylwia,Wasyluk,K,1951-01-23,2022-10-26 01:18:43,Racibórz,Standard
68,Kaja,Chachaj,K,1972-09-10,2023-08-15 01:34:52,Sopot,Silver
69,Malwina,Wudarczyk,K,1967-05-29,2022-10-12 11:53:51,Chorzów,Standard
70,Blanka,Kacperczyk,K,1960-06-14,2022-11-25 19:47:07,Tarnowskie Góry,Standard
71,Adrian,Kacperek,M,1971-06-17,2022-12-05 10:07:23,Zgierz,Gold
72,Natasza,Rogula,K,1952-02-16,2023-09-24 07:05:15,Stalowa Wola,Standard
73,Janina,Krauz,K,2004-03-20,2022-04-09 08:02:08,Jawor,Standard
74,Kajetan,Truchel,M,1992-06-03,2023-09-20 00:29:12,Żory,Standard
75,Dagmara,Judek,K,2005-11-11,2022-04-29 22:09:25,Legnica,Standard
76,Monika,Piestrzeniewicz,K,2007-07-10,2023-02-18 21:41:09,Września,Silver
77,Błażej,Młot,M,2000-06-13,2023-08-23 13:50:40,Włocławek,Gold
78,Marianna,Skup,K,1989-10-12,2022-01-02 16:11:31,Police,Gold
79,Olaf,Iciek,M,1990-06-02,2023-07-17 01:55:43,Piaseczno,Silver
80,Patryk,Madura,M,1962-12-20,2022-03-01 20:56:57,Siemianowice Śląskie,Standard
81,Olga,Litwińczuk,K,1971-07-14,2022-06-13 04:43:29,Ostrów Wielkopolski,Gold
82,Karina,Karsznia,K,1985-03-08,2022-02-03 18:42:32,Bochnia,Standard
83,Karina,Noculak,K,1991-02-10,2023-08-23 17:52:44,Ostrołęka,Standard
84,Urszula,Łasak,K,1961-07-21,2022-08-03 13:44:42,Brodnica,Standard
85,Apolonia,Kutera,K,2002-09-01,2022-04-02 03:21:17,Jarocin,Standard
86,Tola,Szelest,K,1980-01-22,2023-08-02 13:53:36,Ruda Śląska,Silver
87,Liwia,Kubrak,K,1962-01-12,2022-03-30 22:57:33,Bartoszyce,Silver
88,Juliusz,Dycha,M,1960-04-16,2023-03-27 09:38:18,Cieszyn,Standard
89,Lidia,Kapciak,K,1970-04-08,2023-06-26 06:39:01,Police,Standard
90,Blanka,Niedośpiał,K,1958-12-13,2022-09-19 14:54:21,Lublin,Silver
91,Nataniel,Rembacz,M,1986-08-06,2023-10-23 21:49:33,Łaziska Górne,Standard
92,Olaf,Foit,M,1984-08-31,2023-02-24 21:15:19,Myszków,Standard
93,Konstanty,Wiencek,M,2006-07-18,2023-11-13 09:33:02,Sochaczew,Silver
94,Marika,Sajda,K,2004-05-05,2023-05-18 12:10:35,Wągrowiec,Silver
95,Blanka,Reiter,K,2001-04-06,2023-02-19 09:25:15,Sopot,Standard
96,Cezary,Niedźwiadek,M,1953-01-07,2022-02-27 06:56:40,Oleśnica,Silver
97,Melania,Woszczak,K,2002-05-12,2022-09-23 11:08:21,Olkusz,Gold
98,Apolonia,Pyszny,K,2004-10-16,2022-08-08 04:54:51,Krotoszyn,Standard
99,Paweł,Zinkiewicz,M,1980-05-15,2022-07-31 20:48:52,Kłodzko,VIP
100,Sara,Durczok,K,2004-08-11,2022-05-22 13:30:54,Brodnica,Standard
101,Piotr,Kapciak,M,1951-02-12,2023-03-16 00:46:48,Mława,Silver
102,Justyna,Kacperek,K,1982-05-12,2023-08-28 05:20:23,Bielawa,Gold
103,Elżbieta,Mijas,K,1991-09-07,2023-04-25 07:04:11,Pruszków,Standard
104,Anita,Gill,K,1947-03-19,2023-06-15 07:28:11,Nowy Targ,Silver
105,Nela,Szlachcic,K,1947-08-19,2022-07-18 03:12:39,Nysa,Silver
106,Tomasz,Karpiel,M,1990-11-07,2022-11-06 04:15:21,Grodzisk Mazowiecki,Silver
107,Sylwia,Kraszkiewicz,K,1976-11-03,2022-06-18 19:49:34,Wejherowo,Standard
108,Janina,Pawełko,K,1983-10-08,2023-02-19 08:02:43,Bydgoszcz,Silver
109,Olga,Gomuła,K,2005-10-05,2023-02-25 11:26:18,Ciechanów,Silver
110,Bianka,Fraszczyk,K,1959-08-15,2022-04-17 09:04:52,Pruszków,Standard
111,Kornel,Pachołek,M,1985-12-06,2023-11-10 14:19:04,Katowice,Silver
112,Antoni,Kolanko,M,1946-12-17,2023-05-02 16:07:32,Żagań,Silver
113,Filip,Dylik,M,1968-04-21,2022-03-15 12:22:50,Bielawa,Standard
114,Liwia,Miechowicz,K,1964-07-30,2023-02-22 20:22:43,Koło,Standard
115,Apolonia,Wesoły,K,1982-04-01,2023-01-29 05:30:12,Bełchatów,Gold
116,Elżbieta,Muskała,K,1973-05-27,2023-09-23 04:30:55,Ostrołęka,Standard
117,Maurycy,Majorek,M,1977-03-05,2022-08-31 09:19:26,Gdynia,Standard
118,Maksymilian,Pera,M,1956-10-07,2023-10-15 15:04:15,Chrzanów,Gold
119,Błażej,Hetmańczyk,M,1963-11-02,2022-02-11 16:16:31,Śrem,Standard
120,Olgierd,Gotfryd,M,1998-04-10,2022-03-20 22:53:38,Toruń,Silver
121,Kamila,Smyl,K,1966-06-21,2022-04-06 18:17:36,Szczytno,Silver
122,Igor,Glanc,M,1968-08-03,2023-04-05 07:54:27,Kraków,Standard
123,Olgierd,Rudyk,M,1987-01-05,2023-12-09 16:52:00,Żary,Silver
124,Paweł,Pyszczek,M,2006-12-07,2022-12-09 12:22:43,Żagań,Gold
125,Bianka,Baś,K,2001-11-19,2023-01-05 12:27:44,Łódź,Gold
126,Ksawery,Ważny,M,1957-02-25,2022-11-25 23:21:22,Wieluń,Silver
127,Borys,Duczmal,M,1983-06-13,2022-04-30 02:53:07,Dzierżoniów,VIP
128,Witold,Szałas,M,1998-01-14,2023-09-21 05:05:17,Lębork,Gold
129,Cezary,Bazydło,M,2001-07-23,2022-12-16 11:14:47,Koszalin,Silver
130,Sylwia,Kabala,K,1947-11-03,2022-06-05 00:12:38,Kutno,Gold
131,Malwina,Szymajda,K,1952-06-21,2022-01-12 09:11:40,Kędzierzyn-Koźle,Silver
132,Wojciech,Minta,M,1969-02-14,2022-07-20 20:21:05,Bytom,Standard
133,Elżbieta,Patyna,K,2001-11-26,2023-03-20 00:59:52,Kołobrzeg,Standard
134,Ida,Piejko,K,1992-04-25,2022-01-30 04:06:28,Żywiec,Silver
135,Iwo,Stanuch,M,1984-05-17,2023-02-23 16:59:20,Bielsko-Biała,Standard
136,Emil,Glica,M,1976-07-18,2023-04-16 02:01:32,Kluczbork,Gold
137,Cyprian,Turczyk,M,1996-10-09,2023-11-03 06:51:29,Gdynia,Silver
138,Jeremi,Kiełbus,M,1992-03-01,2023-12-04 03:30:50,Zduńska Wola,Silver
139,Arkadiusz,Krzyszczak,M,1953-02-05,2022-04-09 00:36:54,Tarnobrzeg,Silver
140,Radosław,Łapaj,M,1997-06-28,2023-01-11 13:40:30,Ciechanów,Silver
141,Alex,Rosada,M,1945-05-25,2023-06-17 23:36:27,Świebodzice,Gold
142,Dorota,Gumienny,K,1950-09-05,2022-04-21 11:38:33,Ciechanów,Standard
143,Anita,Gabryszak,K,1990-02-16,2022-08-01 16:19:35,Krotoszyn,Standard
144,Bianka,Twardy,K,2001-10-19,2023-02-07 13:19:54,Jarocin,Standard
145,Nela,Korkosz,K,1974-12-23,2022-05-07 10:27:54,Nowy Targ,Silver
146,Dariusz,Bajko,M,1983-05-18,2023-03-12 05:53:20,Wołomin,Standard
147,Adrianna,Fryś,K,1954-11-24,2023-03-29 04:04:46,Knurów,Standard
148,Klara,Szymocha,K,2007-08-10,2022-11-19 13:43:25,Koszalin,Standard
149,Róża,Doktór,K,1979-06-02,2022-01-10 03:04:31,Pruszcz Gdański,Silver
150,Wiktor,Wziątek,M,1949-05-07,2023-11-19 02:33:37,Giżycko,Silver
151,Natasza,Rejek,K,1993-10-31,2022-06-28 01:30:32,Mikołów,Standard
152,Ignacy,Pesta,M,2007-05-15,2022-02-09 07:18:03,Elbląg,Gold
153,Damian,Malka,M,1962-01-28,2023-06-15 10:01:25,Malbork,Silver
154,Krzysztof,Buk,M,1992-07-15,2023-08-22 16:11:11,Lębork,Gold
155,Nela,Łuszczyk,K,1999-11-07,2022-03-07 16:57:13,Puławy,Silver
156,Jan,Dziewit,M,1957-04-05,2022-11-13 06:57:49,Jarocin,VIP
157,Sara,Rakus,K,1989-12-21,2022-12-05 10:54:25,Czeladź,Gold
158,Klara,Wojaczek,K,1977-10-04,2022-09-05 23:45:06,Kutno,Silver
159,Dawid,Gryka,M,1998-09-29,2022-01-23 01:51:16,Dębica,VIP
160,Borys,Fedak,M,1957-11-26,2022-06-30 00:19:25,Inowrocław,Standard
161,Jeremi,Majnusz,M,1960-09-29,2022-05-30 19:54:37,Wejherowo,Gold
162,Krystian,Danilczuk,M,2002-05-02,2023-05-13 12:12:27,Olkusz,Standard
163,Ewa,Misiuk,K,1985-10-28,2022-01-13 08:56:16,Szczecin,Standard
164,Róża,Skrobek,K,1973-10-26,2022-02-12 09:57:17,Wieluń,Standard
165,Tymon,Wojnicz,M,1983-04-07,2023-01-21 10:56:54,Chrzanów,Standard
166,Sonia,Chuchla,K,1951-10-01,2023-11-17 17:12:31,Kraków,Standard
167,Sara,Zwara,K,1986-11-26,2023-07-24 08:04:31,Bielawa,Gold
168,Aleksander,Kocurek,M,2001-05-31,2022-10-03 05:55:22,Czeladź,Silver
169,Blanka,Kolka,K,1978-05-22,2023-09-15 03:48:25,Poznań,Silver
170,Fabian,Jędrusiak,M,1959-02-22,2023-10-23 11:04:52,Mława,Silver
171,Adam,Chwedczuk,M,1947-12-18,2023-03-26 08:31:43,Piaseczno,Silver
172,Urszula,Pakosz,K,2005-11-03,2023-02-23 17:19:32,Rumia,VIP
173,Kaja,Goss,K,1959-08-08,2022-04-18 05:19:37,Cieszyn,Standard
174,Ignacy,Szpyrka,M,1974-12-03,2023-12-16 08:06:20,Police,Silver
175,Oliwier,Zach,M,1975-06-10,2023-04-20 07:57:55,Lubliniec,Standard
176,Janina,Kozdra,K,1980-12-15,2023-04-24 10:48:46,Wrocław,Standard
177,Arkadiusz,Ceynowa,M,1952-04-29,2023-03-31 22:42:01,Piastów,Standard
178,Nicole,Łodej,K,1978-04-12,2023-02-01 15:02:03,Tarnów,Silver
179,Aurelia,Garczyk,K,1987-10-30,2022-10-15 08:23:10,Ostróda,Silver
180,Patryk,Gęca,M,1961-05-04,2023-12-25 03:14:18,Płońsk,Standard
181,Marcelina,Grabara,K,1974-01-31,2022-12-10 09:01:57,Pruszcz Gdański,Standard
182,Anastazja,Obuchowicz,K,1994-10-30,2022-04-19 05:11:32,Siemianowice Śląskie,Silver
183,Andrzej,Tołoczko,M,1952-10-15,2023-04-08 16:20:38,Lubartów,Standard
184,Kazimierz,Taczała,M,1989-09-08,2022-09-18 10:39:33,Inowrocław,Silver
185,Janina,Dobroń,K,1993-02-22,2022-10-17 07:10:38,Dzierżoniów,Gold
186,Konrad,Falba,M,1970-12-30,2022-12-10 19:00:14,Starogard Gdański,Gold
187,Krzysztof,Dąbkiewicz,M,1945-10-07,2022-06-21 12:17:33,Wyszków,Silver
188,Mateusz,Zawodnik,M,1978-08-31,2022-09-16 03:23:45,Poznań,Standard
189,Sara,Pezda,K,1949-09-08,2022-08-10 04:59:37,Bełchatów,Silver
190,Agnieszka,Bielas,K,1956-07-15,2022-05-08 18:53:20,Ełk,Gold
191,Dariusz,Bujas,M,1985-04-28,2022-02-11 07:51:44,Lębork,Standard
192,Nicole,Trybuś,K,1998-09-10,2023-06-24 02:47:25,Świebodzice,Standard
193,Malwina,Hewelt,K,1960-10-06,2022-09-03 18:40:30,Kielce,Standard
194,Aniela,Dykas,K,1974-12-20,2022-01-12 00:47:09,Wodzisław Śląski,Standard
195,Sebastian,Wasiewicz,M,1955-05-30,2022-09-26 17:35:45,Świecie,Standard
196,Mieszko,Irzyk,M,1961-07-19,2022-12-09 18:17:04,Łomża,Standard
197,Łukasz,Kut,M,2003-06-02,2023-10-15 15:55:58,Turek,Standard
198,Natasza,Pytko,K,1969-03-21,2023-05-26 11:19:55,Gdynia,Gold
199,Tola,Giersz,K,1990-10-01,2023-04-11 23:35:59,Wągrowiec,Gold
200,Urszula,Krochmal,K,1983-07-22,2023-02-15 07:52:16,Ruda Śląska,Standard
201,Gabriel,Dybka,M,1947-02-05,2023-12-18 12:27:00,Kraków,Silver
202,Fryderyk,Machul,M,1952-09-05,2023-11-21 12:06:28,Żyrardów,Gold
203,Szymon,Kolanko,M,1982-04-04,2023-10-15 00:36:39,Rumia,Standard
204,Krzysztof,Klejna,M,1966-08-24,2023-02-06 05:33:15,Żyrardów,Standard
205,Bianka,Kubina,K,1987-12-09,2022-09-26 05:44:49,Koło,Gold
206,Leonard,Kujawiak,M,1985-01-24,2022-06-06 09:15:14,Bielsko-Biała,Silver
207,Leonard,Bartman,M,1994-04-03,2022-09-21 15:34:03,Rumia,VIP
208,Klara,Bembenek,K,1987-04-24,2023-07-27 10:51:16,Łuków,Standard
209,Sylwia,Kołton,K,1964-10-27,2023-03-03 17:25:49,Chorzów,Standard
210,Anita,Wieja,K,1959-12-15,2023-05-08 15:44:07,Żagań,Standard
211,Stefan,Kusik,M,1973-11-10,2022-05-01 04:02:44,Stalowa Wola,Silver
212,Kornelia,Piersa,K,1968-03-20,2023-05-02 10:19:21,Dąbrowa Górnicza,Standard
213,Nicole,Drobny,K,1973-08-04,2023-09-18 08:37:16,Gniezno,Standard
214,Piotr,Masiak,M,1960-04-24,2022-06-19 20:45:55,Konin,Silver
215,Lidia,Lipowicz,K,1946-03-21,2022-04-07 12:25:41,Bielawa,Standard
216,Sylwia,Nabiałek,K,2001-07-04,2023-02-03 20:34:39,Ruda Śląska,Gold
217,Andrzej,Łepek,M,1977-01-24,2022-04-26 03:17:22,Nowy Sącz,Standard
218,Liwia,Pyza,K,1991-02-07,2023-12-06 06:14:39,Racibórz,VIP
219,Michał,Pudełek,M,1956-02-11,2022-09-13 03:44:12,Zduńska Wola,Silver
220,Jerzy,Borkiewicz,M,1999-08-30,2023-05-02 06:16:57,Giżycko,Silver
221,Borys,Bulak,M,1948-03-27,2022-02-18 18:48:43,Częstochowa,Standard
222,Lidia,Mandrysz,K,1969-11-28,2023-09-01 22:14:20,Zakopane,Silver
223,Aleks,Drewicz,M,1960-12-28,2022-01-02 06:43:56,Marki,Gold
224,Nicole,Tadych,K,1968-06-13,2022-03-17 07:51:34,Głogów,Gold
225,Tymon,Widuch,M,1974-06-01,2022-07-05 05:17:52,Tychy,Silver
226,Kacper,Ciesielka,M,1993-09-05,2023-06-26 08:49:00,Malbork,Standard
227,Kaja,Jonik,K,1953-01-31,2023-10-14 05:16:58,Luboń,Standard
228,Marianna,Pudełek,K,1999-01-15,2023-02-20 02:31:05,Kwidzyn,Standard
229,Karina,Bittner,K,1956-11-29,2023-02-15 15:27:06,Olkusz,Standard
230,Cezary,Janiszek,M,1994-05-22,2022-11-25 15:47:25,Głogów,Gold
231,Tymon,Józefczak,M,1996-08-26,2023-04-13 18:59:56,Nowa Ruda,Standard
232,Aniela,Mitera,K,1972-10-26,2022-04-01 01:57:12,Olkusz,Silver
233,Konstanty,Broncel,M,1974-11-21,2023-03-07 00:12:51,Świecie,Standard
234,Anita,Chomik,K,1982-07-06,2023-02-12 23:49:57,Białogard,VIP
235,Kaja,Polaszek,K,2001-03-19,2023-03-15 12:47:31,Szczecinek,Gold
236,Emil,Indyk,M,1951-01-23,2023-11-26 09:10:06,Piastów,Standard
237,Justyna,Gasz,K,1957-04-01,2022-04-01 00:38:36,Łomża,Standard
238,Marcin,Dej,M,1971-07-30,2022-10-29 08:57:39,Starogard Gdański,Silver
239,Leon,Fac,M,2006-03-16,2023-08-05 10:00:34,Reda,Standard
240,Fryderyk,Kozdroń,M,1970-06-12,2023-06-07 00:46:20,Pszczyna,Standard
241,Kornelia,Leszcz,K,1999-12-24,2022-10-26 20:16:41,Mikołów,Silver
242,Apolonia,Nehring,K,2001-11-28,2022-11-15 10:12:07,Luboń,Silver
243,Nicole,Żuchowicz,K,1995-10-23,2023-05-18 09:02:19,Gniezno,Standard
244,Anastazja,Bilik,K,1950-06-11,2022-04-23 02:45:02,Zamość,Standard
245,Justyna,Muniak,K,1977-11-02,2023-10-10 13:55:37,Bytom,Standard
246,Kalina,Ledzion,K,2002-10-18,2023-04-13 05:07:43,Ostrowiec Świętokrzyski,Standard
247,Fabian,Ciochoń,M,1993-01-20,2023-10-21 05:34:56,Zgorzelec,Standard
248,Gaja,Bulanda,K,1954-03-02,2022-08-29 02:12:02,Wieluń,Silver
249,Róża,Karpik,K,1965-11-22,2022-04-22 22:32:29,Świdnica,Standard
250,Eryk,Kobel,M,1982-11-01,2022-10-27 15:56:19,Marki,Standard
251,Gabriel,Wichary,M,1992-11-16,2022-10-24 11:34:07,Oświęcim,Gold
252,Rozalia,Kozień,K,1974-12-05,2022-05-02 02:45:40,Inowrocław,Silver
253,Aurelia,Obst,K,1947-12-17,2023-04-29 06:31:37,Kluczbork,Silver
254,Karol,Pogorzelec,M,1964-10-22,2022-07-04 05:59:14,Warszawa,Silver
255,Ewa,Duszczak,K,2006-06-13,2022-10-04 19:37:04,Jastrzębie-Zdrój,Silver
256,Wojciech,Pryszcz,M,1963-05-15,2023-09-24 09:30:16,Zgierz,Standard
257,Dagmara,Żach,K,1946-01-01,2022-11-18 06:05:15,Police,Gold
258,Ewa,Duszkiewicz,K,1956-12-27,2022-06-08 00:59:16,Środa Wielkopolska,Silver
259,Olga,Portka,K,1997-08-01,2022-03-10 14:47:51,Marki,Silver
260,Grzegorz,Gołota,M,1967-09-03,2022-03-17 17:31:55,Gdynia,Standard
261,Ksawery,Wojtyna,M,1998-03-19,2023-12-19 17:40:27,Bielsko-Biała,Silver
262,Sebastian,Kwoka,M,1977-12-31,2023-05-20 13:12:09,Gorzów Wielkopolski,Silver
263,Adrianna,Basaj,K,1955-06-19,2023-11-20 02:20:31,Płock,Standard
264,Tadeusz,Słoka,M,1996-01-01,2023-10-01 21:27:38,Iława,Gold
265,Tola,Świadek,K,1948-03-13,2022-03-27 16:31:22,Oświęcim,Silver
266,Iwo,Witoń,M,1956-02-17,2022-08-26 04:38:05,Bochnia,Silver
267,Karina,Prokopczuk,K,1959-07-23,2022-04-08 05:20:13,Białystok,Gold
268,Ewelina,Sobków,K,2007-05-28,2022-07-20 02:28:15,Reda,Standard
269,Lidia,Witka,K,1963-05-09,2022-01-28 07:35:53,Kraków,Silver
270,Blanka,Kursa,K,1993-02-28,2023-11-20 13:39:57,Ostrowiec Świętokrzyski,Silver
271,Oliwier,Kapałka,M,1985-02-12,2022-12-09 19:00:23,Starogard Gdański,Gold
272,Franciszek,Jasina,M,1945-07-04,2023-08-18 08:15:25,Gdańsk,Gold
273,Mieszko,Szkaradek,M,1978-03-22,2023-06-02 01:46:55,Stargard Szczeciński,Standard
274,Julita,Brachaczek,K,1961-10-21,2022-06-26 07:51:20,Ruda Śląska,Standard
275,Nicole,Fal,K,1986-01-03,2022-02-22 14:11:34,Dąbrowa Górnicza,Gold
276,Anna Maria,Górkiewicz,K,1989-05-31,2022-05-16 13:09:27,Skierniewice,Standard
277,Filip,Kurcz,M,1959-10-27,2022-07-20 01:26:20,Głogów,Silver
278,Julita,Witka,K,1968-07-01,2023-09-21 20:13:31,Piaseczno,Gold
279,Fryderyk,Tutka,M,1996-07-27,2022-12-17 19:04:29,Kołobrzeg,Standard
280,Kaja,Engel,K,2006-08-24,2023-11-03 03:14:30,Radomsko,Gold
281,Adrianna,Sopata,K,1976-11-09,2022-01-17 20:25:01,Nowa Sól,Silver
282,Mateusz,Nikel,M,1946-05-20,2022-09-29 04:20:47,Giżycko,Gold
283,Natan,Bernatowicz,M,2005-10-12,2023-10-04 19:47:49,Kędzierzyn-Koźle,Silver
284,Hubert,Tylus,M,1990-04-07,2022-03-04 08:34:08,Świętochłowice,Silver
285,Józef,Frydel,M,1981-02-10,2022-01-06 10:18:55,Biała Podlaska,VIP
286,Artur,Pracz,M,1998-11-13,2023-05-26 04:38:43,Ostrów Mazowiecka,Silver
287,Malwina,Knych,K,1987-12-25,2022-08-02 00:00:59,Piastów,Standard
288,Tymoteusz,Makar,M,1976-09-30,2023-12-19 09:01:20,Rumia,Silver
289,Damian,Bartocha,M,1987-06-24,2023-04-24 14:54:10,Kraśnik,Silver
290,Maksymilian,Bobko,M,1988-02-29,2023-02-01 16:29:20,Wieluń,Gold
291,Lidia,Kieloch,K,1993-03-14,2023-09-29 22:04:25,Nowy Targ,Standard
292,Kamila,Dziełak,K,1981-06-24,2023-03-08 23:50:55,Żagań,Standard
293,Kalina,Żyrek,K,1963-04-29,2022-03-28 15:30:38,Ełk,Gold
294,Józef,Wieja,M,2002-02-08,2023-08-02 14:31:39,Żory,Standard
295,Emil,Leśna,M,2002-03-07,2023-10-17 02:03:01,Cieszyn,Silver
296,Bianka,Gierek,K,1947-05-12,2022-01-08 09:44:16,Jarosław,Standard
297,Jerzy,Neska,M,1992-02-03,2023-10-13 21:36:19,Kielce,Standard
298,Juliusz,Szkatuła,M,1967-05-01,2022-09-29 06:28:10,Lubliniec,Standard
299,Grzegorz,Kolonko,M,1960-06-20,2023-08-16 01:17:56,Siedlce,Standard
300,Marika,Krata,K,1998-11-16,2023-11-19 12:53:51,Łomża,VIP
301,Witold,Rduch,M,1977-10-20,2023-10-20 09:04:21,Nowy Targ,Silver
302,Karina,Pawlukiewicz,K,2001-03-28,2022-06-04 23:14:34,Radom,Standard
303,Róża,Pociask,K,1980-11-29,2023-04-12 13:20:05,Leszno,Gold
