Id_gracza;Imie;Nazwisko
501;Marcel;Wojtak
502;Jerzy;Kubasiak
503;Dorota;Fierek
504;Ksawery;Tórz
505;Dorota;Gawliczek
506;Tadeusz;Zinkiewicz
507;Tymoteusz;Niedośpiał
508;Inga;Bartkowicz
509;Gabriel;Kapinos
510;Gabriel;Rudzik
511;Filip;Łupina
512;Monika;Supeł
513;Blanka;Myrcik
514;Angelika;Zimniak
515;Stanisław;Bereś
516;Kamila;Trzyna
517;Kaja;Sojda
518;Dominik;Kurzac
519;Bruno;Kuśnierek
520;Sandra;Karkocha
521;Ewa;Ficoń
522;Bruno;Koćwin
523;Jacek;Śliż
524;Karol;Suchenek
525;Emil;Sosnówka
526;Leonard;Frycz
527;Elżbieta;Andrearczyk
528;Ida;Bubak
529;Melania;Fitrzyk
530;Roksana;Sadowy
531;Igor;Ochnio
532;Ewa;Langiewicz
533;Tola;Solis
534;Malwina;Kostera
535;Kamil;Hajdukiewicz
536;Antoni;Madzia
537;Julianna;Siedlarz
538;Julian;Sanetra
539;Tymoteusz;Wujec
540;Tymoteusz;Capała
541;Cyprian;Pietraszkiewicz
542;Norbert;Morys
543;Robert;Herda
544;Janina;Sobkiewicz
545;Maks;Dawiec
546;Andrzej;Białczyk
547;Julianna;Matuszyk
548;Nicole;Kielan
549;Tymon;Zbroszczyk
550;Liwia;Fidler
551;Tymoteusz;Słoboda
552;Ewelina;Prystupa
553;Kaja;Migda
554;Sara;Ziemkiewicz
555;Sara;Mały
556;Lidia;Seweryniak
557;Roksana;Broniarek
558;Malwina;Korbut
559;Sonia;Tadych
560;Marcel;Sobiło
561;Agnieszka;Kolber
562;Andrzej;Kolendo
563;Krystyna;Hutyra
564;Cyprian;Gawłowicz
565;Kaja;Wojtyś
566;Apolonia;Zbiciak
567;Krystian;Budner
568;Arkadiusz;Stosio
569;Anita;Sobisz
570;Rafał;Salawa
571;Stefan;Pacewicz
572;Maurycy;Grygorowicz
573;Arkadiusz;Wydmuch
574;Dominik;Chwedczuk
575;Klara;Widuch
576;Klara;Tywoniuk
577;Dorota;Kuba
578;Kornel;Kózka
579;Józef;Ciesielka
580;Konrad;Jędruszczak
581;Aurelia;Łukasz
582;Arkadiusz;Fierek
583;Nataniel;Tomalak
584;Klara;Wojczuk
585;Natan;Bandyk
586;Dagmara;Synak
587;Olga;Pich
588;Urszula;Bas
589;Ida;Płaneta
590;Malwina;Kołtuniak
591;Eliza;Zegar
592;Janina;Trepczyk
593;Jakub;Kornet
594;Grzegorz;Kostek
595;Jeremi;Linda
596;Ewa;Gregorowicz
597;Kalina;Budzich
598;Fabian;Kalka
599;Ernest;Krężołek
600;Nela;Tolak
601;Patryk;Rembisz
602;Kalina;Bródka
603;Liwia;Łapot
604;Konstanty;Oleszczak
605;Wojciech;Pierzak
606;Damian;Macheta
607;Blanka;Surmiak
608;Alex;Janduła
609;Jakub;Mol
610;Julianna;Wacław
611;Janina;Nowotka
612;Fabian;Palej
613;Marek;Komisarczyk
614;Ada;Merchel
615;Aurelia;Kobak
616;Jacek;Sudnik
617;Apolonia;Satora
618;Jeremi;Zieja
619;Arkadiusz;Lenarcik
620;Eliza;Brodawka
621;Angelika;Hrabia
622;Igor;Dacko
623;Anna Maria;Gasz
624;Blanka;Gałat
625;Błażej;Milka
626;Marianna;Koniecko
627;Marika;Maligłówka
628;Karina;Smoter
629;Alan;Kobak
630;Klara;Radziewicz
631;Igor;Skoneczna
632;Klara;Fitas
633;Norbert;Fogiel
634;Agnieszka;Witos
635;Urszula;Pancerz
636;Ernest;Kośnik
637;Julianna;Wąsek
638;Józef;Naglik
639;Adam;Franaszek
640;Kaja;Jancewicz
641;Nataniel;Kędziorek
642;Marcel;Wałek
643;Maurycy;Jantos
644;Michał;Bartkowicz
645;Sylwia;Jakoniuk
646;Józef;Ciaś
647;Lidia;Rozumek
648;Blanka;Brachman
649;Konrad;Ochota
650;Emil;Kunc
651;Angelika;Makieła
652;Anita;Zaniewicz
653;Aniela;Zębik
654;Tadeusz;Roda
655;Jerzy;Kulis
656;Gaja;Mosiołek
657;Krystian;Terka
658;Inga;Kranc
659;Artur;Dering
660;Kornel;Cofała
661;Franciszek;Maćków
662;Natan;Natanek
663;Justyna;Kudłacik
664;Julian;Molek
665;Jeremi;Breś
666;Sylwia;Serzysko
667;Róża;Fiutak
668;Róża;Jereczek
669;Dariusz;Kubaczyk
670;Kamil;Matusewicz
671;Monika;Kazimierczuk
672;Malwina;Pajek
673;Aurelia;Wiraszka
674;Natasza;Rosołek
675;Jacek;Szwaja
676;Andrzej;Płocharczyk
677;Hubert;Parafiniuk
678;Filip;Parkitna
679;Krzysztof;Leśny
680;Grzegorz;Luks
681;Anita;Wielgo
682;Nicole;Dorawa
683;Julianna;Stempel
684;Michał;Chwała
685;Konrad;Achtelik
686;Roksana;Heczko
687;Jan;Solnica
688;Iwo;Szpila
689;Kornelia;Poleszak
690;Piotr;Myrcik
691;Marek;Wośko
692;Ewa;Palej
693;Aleksander;Anders
694;Mikołaj;Szumiło
695;Maurycy;Mrotek
696;Krystian;Niedojadło
697;Sandra;Sudnik
698;Maksymilian;Balcewicz
699;Leon;Cherek
700;Marcel;Kozubal
701;Przemysław;Kulma
702;Michał;Godzik
703;Leonard;Pernak
704;Sylwia;Dobosiewicz
705;Alan;Krasa
706;Janina;Deluga
707;Ida;Ochal
708;Marcel;Ćmiel
709;Roksana;Pasich
710;Jacek;Kuziora
711;Piotr;Ziętal
712;Ewelina;Taczała
713;Kamila;Wiak
714;Grzegorz;Bujko
715;Antoni;Greszta
716;Dagmara;Nogieć
717;Ksawery;Kwoka
718;Paweł;Sroga
719;Szymon;Garczyk
720;Kornelia;Anders
721;Bartek;Piekarek
722;Błażej;Mudlaff
723;Alex;Dytrych
724;Sylwia;Słoka
725;Marcin;Stanisławek
726;Daniel;Pyziak
727;Mikołaj;Gozdur
728;Natasza;Ryfa
729;Marika;Uzar
730;Karol;Rosłon
731;Tymoteusz;Gwizdek
732;Kornelia;Jaśko
733;Aniela;Chomiuk
734;Maks;Ważna
735;Nicole;Kretek
736;Jakub;Drobniak
737;Monika;Kukier
738;Malwina;Potyrała
739;Apolonia;Pizoń
740;Lidia;Buchholz
741;Miłosz;Smolorz
742;Marianna;Stoltman
743;Melania;Kułach
744;Sara;Prokopiak
745;Klara;Paprotny
746;Aniela;Narożny
747;Rozalia;Banachowicz
748;Józef;Kulus
749;Maks;Paw
750;Marianna;Heinrich
751;Tola;Pierzak
752;Rozalia;Macioł
753;Sonia;Knieć
754;Stanisław;Sarniak
755;Kamil;Fiutak
756;Arkadiusz;Posłuszna
757;Stefan;Juśkiewicz
758;Dorota;Składanek
759;Apolonia;Cofała
760;Sara;Bender
761;Anastazja;Ważna
762;Piotr;Ostapiuk
763;Natasza;Nieścior
764;Adrianna;Kajdas
765;Daniel;Kurz
766;Gaja;Łachacz
767;Olaf;Stwora
768;Gaja;Mielcarz
769;Anna Maria;Dyjach
770;Angelika;Łaszcz
771;Malwina;Boduch
772;Róża;Krefta
773;Anita;Waloszek
774;Jacek;Wiesiołek
775;Alex;Łupina
776;Inga;Matulewicz
777;Rozalia;Stanuch
778;Wiktor;Szok
779;Janina;Wojaczek
780;Iwo;Olchawa
781;Urszula;Machul
782;Anastazja;Orawiec
783;Bartek;Wszoła
784;Fabian;Janiuk
785;Artur;Białk
786;Szymon;Hnat
787;Adrianna;Oziębło
788;Filip;Broniek
789;Witold;Dułak
790;Blanka;Feliksiak
791;Kazimierz;Rudyk
792;Kamila;Adamaszek
793;Dariusz;Stefanik
794;Natan;Dorynek
795;Nicole;Ficoń
796;Malwina;Wojewodzic
797;Kornelia;Bona
798;Olga;Owczarczak
799;Adam;Rząd
800;Adam;Kiełek
801;Filip;Kukieła
802;Karina;Lada
803;Rozalia;Galica
804;Klara;Kalista
805;Gaja;Indyk
806;Cyprian;Pacewicz
807;Angelika;Cogiel
808;Marcelina;Fal
809;Mariusz;Samoraj
810;Konstanty;Kornek
811;Elżbieta;Brach
812;Miłosz;Hasiak
813;Ida;Taranek
814;Kamil;Majerczyk
815;Krystyna;Chuchla
816;Jerzy;Kluj
817;Cyprian;Kochel
818;Emil;Przeniosło
819;Ada;Trojanek
820;Natan;Jaskóła
821;Rozalia;Mokwa
822;Gaja;Buczma
823;Maciej;Strzała
824;Radosław;Jodko
825;Olgierd;Chołody
826;Kalina;Berendt
827;Konstanty;Kubisz
828;Dagmara;Krysik
829;Kazimierz;Początek
830;Marianna;Fudalej
831;Marek;Kaszkowiak
832;Aniela;Sąsiadek
833;Inga;Krzysztofek
834;Dariusz;Lepianka
835;Sara;Botor
836;Krystyna;Steuer
837;Julita;Idzi
838;Tymon;Kolanko
839;Julita;Gryszkiewicz
840;Marcelina;Kozica
841;Kamil;Dzikiewicz
842;Róża;Suda
843;Sebastian;Golisz
844;Maksymilian;Godzwon
845;Adrian;Kulma
846;Maksymilian;Filus
847;Tymoteusz;Wąsala
848;Dawid;Cybul
849;Lidia;Hrabia
850;Klara;Masny
851;Julita;Karsznia
852;Sylwia;Śleziak
853;Angelika;Doroba
854;Nela;Pyziak
855;Sonia;Kraszkiewicz
856;Malwina;Watras
857;Stefan;Serwa
858;Lidia;Tabak
859;Olaf;Iwanow
860;Jacek;Bogaczyk
861;Anita;Wziątek
862;Iwo;Hetmańczyk
863;Albert;Wesoła
864;Nicole;Fitas
865;Gaja;Słaba
866;Daniel;Famuła
867;Iwo;Kosidło
868;Rozalia;Korkosz
869;Mariusz;Ledzion
870;Stanisław;Sypuła
871;Julita;Namysło
872;Eryk;Olszowa
873;Ewa;Sady
874;Karol;Mytych
875;Rozalia;Romańczyk
876;Maurycy;Kopiczko
877;Krzysztof;Satora
878;Marek;Wisz
879;Kamila;Gumienna
880;Malwina;Musiała
881;Gaja;Działa
882;Julianna;Gosz
883;Wojciech;Apostel
884;Sylwia;Kadela
885;Fabian;Pleban
886;Jędrzej;Świadek
887;Jan;Krekora
888;Agnieszka;Styn
889;Rozalia;Tryka
890;Roksana;Stelmasiak
891;Olgierd;Chaber
892;Igor;Majsterek
893;Eliza;Jędrusiak
894;Grzegorz;Niedośpiał
895;Leon;Eckert
896;Grzegorz;Dytrych
897;Tola;Pachuta
898;Andrzej;Przeklasa
899;Ada;Majewicz
900;Bartek;Dziarmaga
901;Julianna;Zbroja
902;Mateusz;Zach
903;Konrad;Młyńczyk
904;Malwina;Wisła
905;Janina;Gordon
906;Andrzej;Rychel
907;Nataniel;Dreszer
908;Angelika;Stępak
909;Ada;Tułacz
910;Konrad;Molka
911;Kazimierz;Tofil
912;Wiktor;Laszczyk
913;Justyna;Kubów
914;Radosław;Bondyra
915;Aurelia;Jajko
916;Aurelia;Strug
917;Apolonia;Trzmiel
918;Nataniel;Orman
919;Adrian;Hubert
920;Julianna;Zaniewicz
921;Jerzy;Darłak
922;Emil;Ruszczak
923;Alan;Jeka
924;Alex;Bela
925;Nikodem;Siara
926;Aleksander;Parafiniuk
927;Andrzej;Koj
928;Witold;Siedlarz
929;Marianna;Cyganik
930;Kamila;Powierża
931;Wiktor;Stochel
932;Krystyna;Melaniuk
933;Eryk;Groth
934;Olga;Siarkiewicz
935;Janina;Sip
936;Nela;Sobkiewicz
937;Nela;Dunal
938;Ada;Olkowicz
939;Albert;Prystupa
940;Ewelina;Sojda
941;Ryszard;Naumiuk
942;Jacek;Pałęga
943;Grzegorz;John
944;Anastazja;Nastały
945;Iwo;Breguła
946;Nikodem;Nestorowicz
947;Olga;Marko
948;Natasza;Niewola
949;Sylwia;Cebo
950;Mariusz;Kultys
951;Alex;Hetmańczyk
952;Monika;Padło
953;Liwia;Ziajka
954;Tomasz;Rembisz
955;Krzysztof;Wojtaszczyk
956;Alex;Jędrys
957;Andrzej;Terka
958;Damian;Błażejak
959;Bianka;Rakus
960;Olga;Dziuda
961;Krystian;Bek
962;Karina;Klatka
963;Tola;Fac
964;Aleks;Byzdra
965;Sandra;Grygorcewicz
966;Damian;Szumiec
967;Rozalia;Pasiut
968;Inga;Niechciał
969;Adrian;Sugier
970;Olga;Olma
971;Rozalia;Plak
972;Artur;Morka
973;Urszula;Myrcik
974;Leonard;Zdonek
975;Malwina;Budzeń
976;Iwo;Szachniewicz
977;Tymoteusz;Anders
978;Tobiasz;Mulawa
979;Hubert;Cierpisz
980;Rozalia;Smykała
981;Marcin;Karsznia
982;Marcin;Marcol
983;Melania;Maculewicz
984;Sandra;Biernacik
985;Artur;Hałat
986;Natan;Stanaszek
987;Nikodem;Komuda
988;Klara;Waluk
989;Adrianna;Joszko
990;Aurelia;Bareja
991;Ewelina;Majsterek
992;Tymoteusz;Janczura
993;Dariusz;Gabryszak
994;Dagmara;Krężołek
995;Blanka;Godzik
996;Kazimierz;Jonik
997;Janina;Gozdur
998;Karol;Kołsut
999;Marcel;Łukasiuk
1000;Iwo;Sornat
1001;Roksana;Kluj
1002;Inga;Dorawa
1003;Agnieszka;Nocek
1004;Sebastian;Bąbol
1005;Damian;Dumin
1006;Roksana;Nabiałek
1007;Maks;Pastuszko
1008;Bianka;Goik
1009;Kajetan;Czopik
1010;Kazimierz;Bajak
1011;Kamil;Gamrat
1012;Dawid;Mućka
1013;Juliusz;Kudłacik
1014;Monika;Kudela
1015;Sonia;Wierzchoń
1016;Sandra;Kosz
1017;Malwina;Wojtera
1018;Aniela;Klucznik
1019;Alex;Filusz
1020;Julian;Żabierek
1021;Julian;Kultys
1022;Artur;Łyczek
1023;Tobiasz;Matejczuk
1024;Maksymilian;Sobolak
1025;Sylwia;Macheta
1026;Gabriel;Fiutak
1027;Rozalia;Rapa
1028;Robert;Pilarek
1029;Alex;Droś
1030;Patryk;Heller
1031;Melania;Tomaszczyk
1032;Kornel;Kowara
1033;Bianka;Furgała
1034;Sonia;Grund
1035;Sara;Kasper
1036;Lidia;Dudko
1037;Jędrzej;Breś
1038;Maksymilian;Taczała
1039;Juliusz;Jarosiewicz
1040;Kornel;Malewicz
1041;Dagmara;Lorenz
1042;Agnieszka;Hyjek
1043;Kornelia;Wojtyś
1044;Monika;Anioła
1045;Klara;Milka
1046;Kaja;Jerzyk
1047;Natasza;Megger
1048;Nicole;Pych
1049;Daniel;Madura
1050;Ida;Starostka
1051;Kacper;Grzywnowicz
1052;Marcel;Znojek
1053;Ewa;Ścieszka
1054;Fabian;Szarpak
1055;Angelika;Naumiuk
1056;Agnieszka;Wacławiak
1057;Ida;Stypka
1058;Przemysław;Latuszek
1059;Monika;Kosowicz
1060;Jakub;Kazimierczyk
1061;Kornel;Kulisz
1062;Sandra;Czerkies
1063;Gaja;Cop
1064;Oliwier;Perlik
1065;Marcin;Staciwa
1066;Aniela;Pietryga
1067;Norbert;Bik
1068;Franciszek;Zawalich
1069;Albert;Kuzia
1070;Liwia;Sommerfeld
1071;Franciszek;Wandas
1072;Kaja;Wiraszka
1073;Sonia;Kozdroń
